         2122605 function calls (2093641 primitive calls) in 20.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   19.240    9.620 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      6/2    0.154    0.026   19.240    9.620 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        2    0.001    0.000   16.724    8.362 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        6    0.000    0.000   16.712    2.785 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        6    0.000    0.000   16.607    2.768 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        6    0.001    0.000   16.607    2.768 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        6    0.000    0.000   16.517    2.753 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        6    0.000    0.000   16.505    2.751 c:\python\Lib\subprocess.py:895(communicate)
        6    0.000    0.000   16.204    2.701 c:\python\Lib\subprocess.py:1242(_communicate)
       62   16.202    0.261   16.202    0.261 {method 'acquire' of '_thread.lock' objects}
       12    0.000    0.000   16.200    1.350 c:\python\Lib\threading.py:1000(join)
       12    0.000    0.000   16.199    1.350 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        2    0.000    0.000    1.945    0.972 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        3    0.000    0.000    1.855    0.618 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    1.855    0.618 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    1.854    0.618 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    1.854    0.618 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        3    0.000    0.000    1.853    0.618 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        3    0.000    0.000    1.852    0.617 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        3    0.000    0.000    1.276    0.425 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
     12/3    0.002    0.000    1.275    0.425 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        6    0.007    0.001    1.055    0.176 tokenizer.pyx:420(_load_special_tokenization)
     7476    0.011    0.000    1.048    0.000 tokenizer.pyx:426(add_special_case)
        1    0.001    0.001    0.894    0.894 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
     7503    0.707    0.000    0.708    0.000 tokenizer.pyx:202(_flush_cache)
        3    0.000    0.000    0.576    0.192 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        3    0.000    0.000    0.537    0.179 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        3    0.000    0.000    0.537    0.179 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        3    0.000    0.000    0.537    0.179 tokenizer.pyx:545(from_disk)
        3    0.000    0.000    0.536    0.179 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        3    0.001    0.000    0.536    0.179 tokenizer.pyx:581(from_bytes)
        3    0.000    0.000    0.536    0.179 tokenizer.pyx:32(__init__)
        3    0.000    0.000    0.490    0.163 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        3    0.000    0.000    0.489    0.163 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        3    0.006    0.002    0.489    0.163 vocab.pyx:455(from_disk)
        6    0.001    0.000    0.479    0.080 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        6    0.004    0.001    0.473    0.079 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
        4    0.000    0.000    0.422    0.105 pipes.pyx:396(__call__)
        2    0.000    0.000    0.387    0.194 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:66(category_component)
        2    0.003    0.001    0.384    0.192 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        2    0.000    0.000    0.381    0.190 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
     7476    0.224    0.000    0.331    0.000 vocab.pyx:251(make_fused_token)
     1504    0.001    0.000    0.325    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1504    0.007    0.000    0.325    0.000 tokenizer.pyx:136(__call__)
    96/12    0.001    0.000    0.313    0.026 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
        6    0.000    0.000    0.301    0.050 c:\python\Lib\subprocess.py:985(wait)
        6    0.000    0.000    0.301    0.050 c:\python\Lib\subprocess.py:1221(_wait)
        6    0.301    0.050    0.301    0.050 {built-in method _winapi.WaitForSingleObject}
     4654    0.004    0.000    0.288    0.000 tokenizer.pyx:233(_tokenize)
     7290    0.100    0.000    0.287    0.000 vocab.pyx:168(_new_lexeme)
       27    0.123    0.005    0.280    0.010 {method 'update' of 'collections.OrderedDict' objects}
        4    0.024    0.006    0.279    0.070 pipes.pyx:426(set_annotations)
        2    0.000    0.000    0.276    0.138 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
     2405    0.009    0.000    0.255    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:35(__call__)
        6    0.000    0.000    0.247    0.041 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
      659    0.233    0.000    0.235    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:146(lemmatize)
     4654    0.018    0.000    0.229    0.000 tokenizer.pyx:297(_attach_tokens)
        1    0.000    0.000    0.214    0.214 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.214    0.214 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.214    0.214 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
       12    0.000    0.000    0.200    0.017 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
        7    0.191    0.027    0.193    0.028 {built-in method _pickle.load}
     5508    0.006    0.000    0.190    0.000 vocab.pyx:134(get)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
     32/8    0.001    0.000    0.173    0.022 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
        4    0.014    0.004    0.161    0.040 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
