         667276 function calls (664108 primitive calls) in 1.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.918    0.918 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.561    0.561 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.561    0.561 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.561    0.561 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.561    0.561 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.561    0.561 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.560    0.560 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.000    0.000    0.371    0.371 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      2/1    0.000    0.000    0.371    0.371 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        2    0.002    0.001    0.369    0.184 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.004    0.000    0.367    0.000 tokenizer.pyx:426(add_special_case)
     2501    0.245    0.000    0.246    0.000 tokenizer.pyx:202(_flush_cache)
        1    0.000    0.000    0.213    0.213 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.213    0.213 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.213    0.213 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        1    0.000    0.000    0.202    0.202 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.202    0.202 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.202    0.202 tokenizer.pyx:545(from_disk)
        1    0.000    0.000    0.202    0.202 tokenizer.pyx:581(from_bytes)
        1    0.000    0.000    0.190    0.190 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
     1500    0.001    0.000    0.188    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1500    0.005    0.000    0.187    0.000 tokenizer.pyx:136(__call__)
        3    0.181    0.060    0.183    0.061 {built-in method _pickle.load}
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
        1    0.000    0.000    0.173    0.173 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.173    0.173 tokenizer.pyx:32(__init__)
        1    0.000    0.000    0.169    0.169 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.169    0.169 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.169    0.169 vocab.pyx:455(from_disk)
        2    0.000    0.000    0.166    0.083 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        2    0.001    0.001    0.164    0.082 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
     2553    0.002    0.000    0.154    0.000 tokenizer.pyx:233(_tokenize)
     3377    0.045    0.000    0.132    0.000 vocab.pyx:168(_new_lexeme)
     1502    0.001    0.000    0.125    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.125    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
     2553    0.010    0.000    0.122    0.000 tokenizer.pyx:297(_attach_tokens)
     2492    0.082    0.000    0.118    0.000 vocab.pyx:251(make_fused_token)
        2    0.000    0.000    0.108    0.054 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
        2    0.000    0.000    0.108    0.054 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
     3033    0.003    0.000    0.100    0.000 vocab.pyx:134(get)
        9    0.000    0.000    0.080    0.009 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
        9    0.080    0.009    0.080    0.009 {built-in method from_error_rate}
        9    0.021    0.002    0.074    0.008 {method 'update' of 'collections.OrderedDict' objects}
    45101    0.029    0.000    0.053    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
        2    0.000    0.000    0.046    0.023 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\datareader.py:122(prepare_text)
        2    0.000    0.000    0.046    0.023 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\datareader.py:81(docx_to_text)
        2    0.000    0.000    0.044    0.022 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:56(embedding_component)
        2    0.001    0.000    0.044    0.022 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\docx2txt\docx2txt.py:72(process)
        2    0.001    0.001    0.041    0.020 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:26(get_word_embeddings)
        4    0.007    0.002    0.040    0.010 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\docx2txt\docx2txt.py:50(xml2text)
        1    0.032    0.032    0.036    0.036 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1592(make_cum_table)
     4830    0.002    0.000    0.036    0.000 vocab.pyx:154(get_by_orth)
     2553    0.004    0.000    0.028    0.000 tokenizer.pyx:245(_split_affixes)
     1500    0.012    0.000    0.027    0.000 doc.pyx:175(__init__)
