         1358409 function calls (1332787 primitive calls) in 2.541 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    1.863    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    1.863    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    1.863    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    1.862    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        3    0.000    0.000    1.862    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        3    0.000    0.000    1.861    0.620 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        2    0.000    0.000    1.710    0.855 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      4/2    0.098    0.025    1.710    0.855 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        2    0.000    0.000    1.623    0.811 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        3    0.000    0.000    1.307    0.436 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
     12/3    0.001    0.000    1.307    0.436 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        6    0.005    0.001    1.054    0.176 tokenizer.pyx:420(_load_special_tokenization)
     7476    0.011    0.000    1.049    0.000 tokenizer.pyx:426(add_special_case)
        1    0.000    0.000    0.810    0.810 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
     7503    0.706    0.000    0.707    0.000 tokenizer.pyx:202(_flush_cache)
        3    0.000    0.000    0.554    0.185 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        3    0.000    0.000    0.554    0.185 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        3    0.000    0.000    0.554    0.185 tokenizer.pyx:545(from_disk)
        3    0.000    0.000    0.553    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        3    0.001    0.000    0.553    0.184 tokenizer.pyx:581(from_bytes)
        3    0.000    0.000    0.518    0.173 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        3    0.000    0.000    0.517    0.172 tokenizer.pyx:32(__init__)
        3    0.000    0.000    0.497    0.166 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        3    0.000    0.000    0.497    0.166 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        3    0.005    0.002    0.497    0.166 vocab.pyx:455(from_disk)
        6    0.001    0.000    0.488    0.081 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        6    0.004    0.001    0.483    0.081 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
