         3846742 function calls (3801640 primitive calls) in 40.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000   39.938    9.984 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:209(process_text)
     11/4    0.416    0.038   39.937    9.984 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        4    0.003    0.001   34.900    8.725 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:75(ner_parsing_component)
       12    0.000    0.000   34.859    2.905 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
       12    0.000    0.000   34.471    2.873 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
       12    0.002    0.000   34.470    2.873 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
       12    0.000    0.000   34.360    2.863 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
       12    0.000    0.000   34.343    2.862 c:\python\Lib\subprocess.py:895(communicate)
       12    0.000    0.000   33.756    2.813 c:\python\Lib\subprocess.py:1242(_communicate)
      122   33.753    0.277   33.753    0.277 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000   33.749    1.406 c:\python\Lib\threading.py:1000(join)
       24    0.000    0.000   33.749    1.406 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        4    0.001    0.000    3.838    0.960 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:102(pattern_matching_component)
        3    0.000    0.000    1.942    0.647 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    1.942    0.647 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    1.941    0.647 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    1.941    0.647 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
