         16770 function calls (16704 primitive calls) in 0.103 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.103    0.103 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\datareader.py:118(prepare_text)
        1    0.000    0.000    0.103    0.103 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\datareader.py:77(docx_to_text)
        1    0.000    0.000    0.098    0.098 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\docx2txt\docx2txt.py:72(process)
        1    0.004    0.004    0.058    0.058 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\docx2txt\docx2txt.py:50(xml2text)
        1    0.020    0.020    0.040    0.040 c:\python\Lib\xml\etree\ElementTree.py:1302(XML)
        1    0.000    0.000    0.037    0.037 c:\python\Lib\zipfile.py:1172(__init__)
        1    0.020    0.020    0.020    0.020 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
        1    0.020    0.020    0.020    0.020 {built-in method io.open}
        1    0.000    0.000    0.018    0.018 c:\python\Lib\zipfile.py:1281(_RealGetContents)
       17    0.000    0.000    0.017    0.001 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.017    0.017 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\encodings\__init__.py:71(search_function)
        1    0.000    0.000    0.017    0.017 {built-in method builtins.__import__}
        1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap_external>:722(exec_module)
        1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.016    0.016    0.017    0.017 <frozen importlib._bootstrap_external>:914(get_data)
     4719    0.006    0.000    0.014    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\docx2txt\docx2txt.py:38(qn)
     4719    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\datareader.py:9(clean_text)
        3    0.000    0.000    0.005    0.002 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\re.py:185(sub)
       33    0.000    0.000    0.004    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\re.py:271(_compile)
        5    0.000    0.000    0.003    0.001 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_compile.py:759(compile)
        3    0.003    0.001    0.003    0.001 {method 'sub' of 're.Pattern' objects}
     4719    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.002    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_parse.py:919(parse)
      9/5    0.000    0.000    0.002    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_parse.py:417(_parse_sub)
