         568007 function calls (564334 primitive calls) in 16.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   15.218    7.609 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
        2    0.000    0.000   15.218    7.609 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        2    0.000    0.000   15.181    7.590 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        6    0.000    0.000   15.175    2.529 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        6    0.000    0.000   15.125    2.521 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        6    0.001    0.000   15.125    2.521 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        6    0.000    0.000   15.089    2.515 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        6    0.000    0.000   15.077    2.513 c:\python\Lib\subprocess.py:895(communicate)
        6    0.000    0.000   14.813    2.469 c:\python\Lib\subprocess.py:1242(_communicate)
       62   14.811    0.239   14.811    0.239 {method 'acquire' of '_thread.lock' objects}
       12    0.000    0.000   14.809    1.234 c:\python\Lib\threading.py:1000(join)
       12    0.000    0.000   14.808    1.234 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        1    0.000    0.000    0.812    0.812 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        2    0.002    0.001    0.348    0.174 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.003    0.000    0.346    0.000 tokenizer.pyx:426(add_special_case)
        1    0.000    0.000    0.310    0.310 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      2/1    0.000    0.000    0.310    0.310 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        6    0.000    0.000    0.264    0.044 c:\python\Lib\subprocess.py:985(wait)
        6    0.000    0.000    0.264    0.044 c:\python\Lib\subprocess.py:1221(_wait)
        6    0.263    0.044    0.263    0.044 {built-in method _winapi.WaitForSingleObject}
     2501    0.236    0.000    0.236    0.000 tokenizer.pyx:202(_flush_cache)
        1    0.000    0.000    0.189    0.189 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        1    0.000    0.000    0.177    0.177 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.177    0.177 tokenizer.pyx:32(__init__)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.176    0.176 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.176    0.176 tokenizer.pyx:545(from_disk)
        1    0.000    0.000    0.176    0.176 tokenizer.pyx:581(from_bytes)
        3    0.160    0.053    0.162    0.054 {built-in method _pickle.load}
        1    0.000    0.000    0.156    0.156 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.156    0.156 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.156    0.156 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
     1500    0.001    0.000    0.153    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1500    0.004    0.000    0.152    0.000 tokenizer.pyx:136(__call__)
        1    0.000    0.000    0.133    0.133 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.133    0.133 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.133    0.133 vocab.pyx:455(from_disk)
        2    0.000    0.000    0.131    0.065 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        2    0.001    0.001    0.129    0.065 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
     1957    0.002    0.000    0.124    0.000 tokenizer.pyx:233(_tokenize)
     1502    0.001    0.000    0.116    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.116    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
     2884    0.039    0.000    0.113    0.000 vocab.pyx:168(_new_lexeme)
     2492    0.073    0.000    0.107    0.000 vocab.pyx:251(make_fused_token)
     1957    0.008    0.000    0.100    0.000 tokenizer.pyx:297(_attach_tokens)
