         1584880 function calls (1557641 primitive calls) in 18.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   17.166    8.583 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      6/2    0.102    0.017   17.166    8.583 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        2    0.000    0.000   15.348    7.674 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        6    0.000    0.000   15.342    2.557 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        6    0.000    0.000   15.288    2.548 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        6    0.001    0.000   15.288    2.548 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        6    0.000    0.000   15.158    2.526 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        6    0.000    0.000   15.143    2.524 c:\python\Lib\subprocess.py:895(communicate)
        6    0.000    0.000   14.876    2.479 c:\python\Lib\subprocess.py:1242(_communicate)
       62   14.873    0.240   14.873    0.240 {method 'acquire' of '_thread.lock' objects}
       12    0.000    0.000   14.871    1.239 c:\python\Lib\threading.py:1000(join)
       12    0.000    0.000   14.870    1.239 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        3    0.000    0.000    1.864    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    1.864    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    1.863    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    1.863    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        3    0.000    0.000    1.863    0.621 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        3    0.000    0.000    1.861    0.620 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        2    0.000    0.000    1.560    0.780 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        3    0.000    0.000    1.304    0.435 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
     12/3    0.002    0.000    1.304    0.435 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        6    0.006    0.001    1.036    0.173 tokenizer.pyx:420(_load_special_tokenization)
     7476    0.011    0.000    1.031    0.000 tokenizer.pyx:426(add_special_case)
        1    0.000    0.000    0.884    0.884 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
     7503    0.701    0.000    0.701    0.000 tokenizer.pyx:202(_flush_cache)
        3    0.000    0.000    0.557    0.186 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        3    0.000    0.000    0.532    0.177 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        3    0.000    0.000    0.532    0.177 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        3    0.000    0.000    0.532    0.177 tokenizer.pyx:545(from_disk)
        3    0.001    0.000    0.531    0.177 tokenizer.pyx:581(from_bytes)
        3    0.000    0.000    0.524    0.175 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        3    0.000    0.000    0.524    0.175 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        3    0.004    0.001    0.524    0.175 vocab.pyx:455(from_disk)
        3    0.000    0.000    0.522    0.174 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        3    0.000    0.000    0.521    0.174 tokenizer.pyx:32(__init__)
        6    0.001    0.000    0.516    0.086 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        6    0.004    0.001    0.511    0.085 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
     7476    0.217    0.000    0.321    0.000 vocab.pyx:251(make_fused_token)
       27    0.124    0.005    0.290    0.011 {method 'update' of 'collections.OrderedDict' objects}
        6    0.000    0.000    0.267    0.044 c:\python\Lib\subprocess.py:985(wait)
        6    0.000    0.000    0.267    0.044 c:\python\Lib\subprocess.py:1221(_wait)
        6    0.267    0.044    0.267    0.044 {built-in method _winapi.WaitForSingleObject}
        6    0.000    0.000    0.246    0.041 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
     5817    0.070    0.000    0.210    0.000 vocab.pyx:168(_new_lexeme)
     1504    0.001    0.000    0.201    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1504    0.004    0.000    0.200    0.000 tokenizer.pyx:136(__call__)
        1    0.000    0.000    0.199    0.199 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.199    0.199 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.199    0.199 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        7    0.182    0.026    0.184    0.026 {built-in method _pickle.load}
       27    0.000    0.000    0.177    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
       27    0.177    0.007    0.177    0.007 {built-in method from_error_rate}
     2982    0.002    0.000    0.172    0.000 tokenizer.pyx:233(_tokenize)
        1    0.000    0.000    0.170    0.170 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.170    0.170 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.170    0.170 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
        2    0.000    0.000    0.166    0.083 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:66(category_component)
   135303    0.090    0.000    0.166    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
        2    0.002    0.001    0.163    0.082 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        2    0.000    0.000    0.160    0.080 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        4    0.014    0.004    0.160    0.040 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
    96/12    0.001    0.000    0.140    0.012 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
     2982    0.011    0.000    0.137    0.000 tokenizer.pyx:297(_attach_tokens)
        4    0.000    0.000    0.137    0.034 pipes.pyx:396(__call__)
     3598    0.003    0.000    0.114    0.000 vocab.pyx:134(get)
     1502    0.001    0.000    0.112    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.111    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
        6    0.000    0.000    0.110    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\_ml.py:321(Tok2Vec)
        6    0.000    0.000    0.110    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\ml\_legacy_tok2vec.py:15(Tok2Vec)
       50    0.000    0.000    0.108    0.002 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\check.py:127(checker)
        6    0.000    0.000    0.107    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:302(__pow__)
        6    0.000    0.000    0.107    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:139(clone)
    54/18    0.000    0.000    0.106    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\copy.py:132(deepcopy)
    14498    0.005    0.000    0.104    0.000 vocab.pyx:154(get_by_orth)
   684/18    0.001    0.000    0.102    0.006 {method '__reduce_ex__' of 'object' objects}
    90/18    0.000    0.000    0.102    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:97(__getstate__)
    90/18    0.000    0.000    0.102    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\_pickle_api.py:7(pickle_dumps)
    90/18    0.000    0.000    0.102    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\cloudpickle\cloudpickle.py:1112(dumps)
    90/18    0.000    0.000    0.101    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\cloudpickle\cloudpickle.py:479(dump)
    90/18    0.000    0.000    0.101    0.006 c:\python\Lib\pickle.py:426(dump)
 14832/18    0.024    0.000    0.101    0.006 c:\python\Lib\pickle.py:485(save)
  1098/18    0.002    0.000    0.101    0.006 c:\python\Lib\pickle.py:849(save_dict)
  1098/18    0.004    0.000    0.101    0.006 c:\python\Lib\pickle.py:862(_batch_setitems)
        6    0.001    0.000    0.099    0.016 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:374(from_bytes)
        2    0.000    0.000    0.097    0.049 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
       12    0.000    0.000    0.094    0.008 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
   342/54    0.000    0.000    0.091    0.002 c:\python\Lib\pickle.py:809(save_list)
   342/54    0.001    0.000    0.091    0.002 c:\python\Lib\pickle.py:822(_batch_appends)
        6    0.090    0.015    0.090    0.015 {method 'close' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.085    0.043 pipes.pyx:639(from_disk)
      396    0.001    0.000    0.084    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\describe.py:36(__get__)
9921/9753    0.002    0.000    0.084    0.000 {built-in method builtins.getattr}
     32/8    0.000    0.000    0.080    0.010 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
  774/486    0.003    0.000    0.076    0.000 c:\python\Lib\pickle.py:567(save_reduce)
        4    0.010    0.002    0.076    0.019 pipes.pyx:426(set_annotations)
        2    0.006    0.003    0.076    0.038 pipes.pyx:640(load_model)
        4    0.000    0.000    0.067    0.017 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:293(begin_update)
     1310    0.004    0.000    0.067    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:35(__call__)
   135303    0.066    0.000    0.066    0.000 {method 'add' of 'preshed.bloom.BloomFilter' objects}
