         1083023 function calls (1067818 primitive calls) in 10.078 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.240    9.240 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      3/1    0.057    0.019    9.240    9.240 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    8.257    8.257 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        3    0.000    0.000    8.253    2.751 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    8.216    2.739 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.001    0.000    8.216    2.739 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    8.184    2.728 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    8.178    2.726 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    8.036    2.679 c:\python\Lib\subprocess.py:1242(_communicate)
       32    8.035    0.251    8.035    0.251 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    8.034    1.339 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    8.034    1.339 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        2    0.000    0.000    1.153    0.576 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        2    0.000    0.000    1.153    0.576 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        2    0.000    0.000    1.152    0.576 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        2    0.000    0.000    1.152    0.576 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        2    0.000    0.000    1.152    0.576 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        2    0.000    0.000    1.151    0.575 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.000    0.000    0.823    0.823 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.807    0.807 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        2    0.000    0.000    0.779    0.390 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      7/2    0.001    0.000    0.779    0.389 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        4    0.004    0.001    0.708    0.177 tokenizer.pyx:420(_load_special_tokenization)
     4984    0.007    0.000    0.704    0.000 tokenizer.pyx:426(add_special_case)
     5002    0.477    0.000    0.477    0.000 tokenizer.pyx:202(_flush_cache)
        2    0.000    0.000    0.379    0.189 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        2    0.000    0.000    0.379    0.189 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        2    0.000    0.000    0.379    0.189 tokenizer.pyx:545(from_disk)
        2    0.001    0.001    0.378    0.189 tokenizer.pyx:581(from_bytes)
        2    0.000    0.000    0.371    0.186 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        2    0.000    0.000    0.345    0.173 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        2    0.000    0.000    0.345    0.172 tokenizer.pyx:32(__init__)
