         1054178 function calls (1039566 primitive calls) in 9.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.894    9.894 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:209(process_text)
      3/1    0.112    0.037    9.894    9.894 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    8.426    8.426 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:75(ner_parsing_component)
        3    0.000    0.000    8.416    2.805 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    8.330    2.777 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.000    0.000    8.330    2.777 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    8.277    2.759 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    8.270    2.757 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    8.107    2.702 c:\python\Lib\subprocess.py:1242(_communicate)
       32    8.106    0.253    8.106    0.253 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    8.105    1.351 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    8.105    1.351 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        1    0.000    0.000    1.093    1.093 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:102(pattern_matching_component)
        1    0.000    0.000    0.616    0.616 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.616    0.616 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.616    0.616 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.616    0.616 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.616    0.616 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.615    0.615 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.000    0.000    0.431    0.431 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      5/1    0.001    0.000    0.431    0.431 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        2    0.002    0.001    0.343    0.171 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.003    0.000    0.341    0.000 tokenizer.pyx:426(add_special_case)
        2    0.000    0.000    0.300    0.150 pipes.pyx:396(__call__)
        1    0.000    0.000    0.277    0.277 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:47(category_component)
        1    0.001    0.001    0.275    0.275 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        1    0.000    0.000    0.274    0.274 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
     48/6    0.001    0.000    0.261    0.043 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
     2501    0.232    0.000    0.233    0.000 tokenizer.pyx:202(_flush_cache)
        1    0.000    0.000    0.199    0.199 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        2    0.021    0.010    0.184    0.092 pipes.pyx:426(set_annotations)
        1    0.000    0.000    0.177    0.177 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.177    0.177 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.177    0.177 tokenizer.pyx:545(from_disk)
        1    0.001    0.001    0.176    0.176 tokenizer.pyx:581(from_bytes)
        1    0.000    0.000    0.172    0.172 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.172    0.172 tokenizer.pyx:32(__init__)
        6    0.000    0.000    0.163    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
     1723    0.006    0.000    0.163    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:35(__call__)
        3    0.000    0.000    0.163    0.054 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.163    0.054 c:\python\Lib\subprocess.py:1221(_wait)
        3    0.162    0.054    0.162    0.054 {built-in method _winapi.WaitForSingleObject}
      439    0.147    0.000    0.149    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lemmatizer.py:146(lemmatize)
        3    0.000    0.000    0.142    0.047 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
        3    0.003    0.001    0.142    0.047 tokenizer.pyx:136(__call__)
     16/4    0.001    0.000    0.140    0.035 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
     2448    0.002    0.000    0.137    0.000 tokenizer.pyx:233(_tokenize)
        1    0.000    0.000    0.133    0.133 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.133    0.133 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.133    0.133 vocab.pyx:455(from_disk)
        2    0.000    0.000    0.130    0.065 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        2    0.001    0.001    0.129    0.064 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
        2    0.000    0.000    0.124    0.062 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:293(begin_update)
        3    0.000    0.000    0.120    0.040 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
        2    0.001    0.000    0.116    0.058 pipes.pyx:408(predict)
     3183    0.039    0.000    0.115    0.000 vocab.pyx:168(_new_lexeme)
        4    0.000    0.000    0.115    0.029 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:308(predict)
       12    0.002    0.000    0.110    0.009 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\layernorm.py:60(begin_update)
       24    0.106    0.004    0.107    0.004 ops.pyx:512(gemm)
     2492    0.073    0.000    0.106    0.000 vocab.pyx:251(make_fused_token)
     2448    0.009    0.000    0.106    0.000 tokenizer.pyx:297(_attach_tokens)
        8    0.002    0.000    0.102    0.013 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\resnet.py:28(begin_update)
     12/2    0.003    0.000    0.101    0.050 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:38(predict)
