         3846896 function calls (3801794 primitive calls) in 40.010 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000   39.807    9.952 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:216(process_text)
     11/4    0.441    0.040   39.807    9.952 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        4    0.002    0.001   34.098    8.525 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:76(ner_parsing_component)
       12    0.000    0.000   34.060    2.838 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
       12    0.000    0.000   33.674    2.806 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
       12    0.002    0.000   33.674    2.806 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
       12    0.000    0.000   33.542    2.795 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
       12    0.000    0.000   33.522    2.794 c:\python\Lib\subprocess.py:895(communicate)
       12    0.000    0.000   32.962    2.747 c:\python\Lib\subprocess.py:1242(_communicate)
      122   32.959    0.270   32.959    0.270 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000   32.955    1.373 c:\python\Lib\threading.py:1000(join)
       24    0.000    0.000   32.954    1.373 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        4    0.001    0.000    4.530    1.132 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:103(pattern_matching_component)
        3    0.000    0.000    2.624    0.875 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    2.624    0.875 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    2.623    0.874 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    2.623    0.874 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        3    0.000    0.000    2.623    0.874 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        3    0.000    0.000    2.622    0.874 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        3    0.000    0.000    2.034    0.678 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
     15/3    0.024    0.002    2.034    0.678 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
   167/20    0.005    0.000    1.111    0.056 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
        6    0.005    0.001    1.023    0.171 tokenizer.pyx:420(_load_special_tokenization)
     7476    0.010    0.000    1.018    0.000 tokenizer.pyx:426(add_special_case)
        7    0.001    0.000    0.977    0.140 pipes.pyx:396(__call__)
        9    0.000    0.000    0.970    0.108 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
        4    0.000    0.000    0.893    0.223 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:48(category_component)
        4    0.005    0.001    0.875    0.219 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        4    0.002    0.001    0.870    0.217 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        6    0.455    0.076    0.842    0.140 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
     7503    0.703    0.000    0.704    0.000 tokenizer.pyx:202(_flush_cache)
       20    0.036    0.002    0.689    0.034 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
        4    0.000    0.000    0.573    0.143 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
    49/13    0.006    0.000    0.561    0.043 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
       12    0.000    0.000    0.560    0.047 c:\python\Lib\subprocess.py:985(wait)
       12    0.000    0.000    0.559    0.047 c:\python\Lib\subprocess.py:1221(_wait)
       12    0.559    0.047    0.559    0.047 {built-in method _winapi.WaitForSingleObject}
        3    0.000    0.000    0.545    0.182 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        3    0.000    0.000    0.530    0.177 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
