         3327 function calls in 0.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 c:\python\Lib\asyncio\base_events.py:549(run_until_complete)
       17    0.000    0.000    0.004    0.000 c:\python\Lib\traceback.py:318(extract)
        5    0.000    0.000    0.003    0.001 c:\python\Lib\asyncio\base_events.py:398(create_task)
        1    0.000    0.000    0.003    0.003 c:\python\Lib\asyncio\base_events.py:522(run_forever)
        5    0.000    0.000    0.003    0.001 c:\python\Lib\asyncio\base_events.py:1679(_run_once)
       11    0.000    0.000    0.003    0.000 c:\python\Lib\asyncio\events.py:86(_run)
       11    0.000    0.000    0.003    0.000 {method 'run' of 'Context' objects}
        6    0.000    0.000    0.003    0.000 c:\python\Lib\traceback.py:200(extract_stack)
       77    0.000    0.000    0.002    0.000 c:\python\Lib\traceback.py:282(line)
       77    0.000    0.000    0.002    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\linecache.py:15(getline)
        5    0.000    0.000    0.002    0.000 c:\python\Lib\asyncio\tasks.py:573(ensure_future)
       77    0.000    0.000    0.002    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\linecache.py:37(getlines)
       35    0.000    0.000    0.002    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\linecache.py:82(updatecache)
        2    0.000    0.000    0.002    0.001 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:219(main)
       11    0.000    0.000    0.001    0.000 c:\python\Lib\asyncio\base_events.py:678(call_soon)
       59    0.001    0.000    0.001    0.000 {built-in method nt.stat}
       11    0.000    0.000    0.001    0.000 c:\python\Lib\asyncio\base_events.py:707(_call_soon)
       12    0.000    0.000    0.001    0.000 c:\python\Lib\asyncio\events.py:39(__init__)
       11    0.000    0.000    0.001    0.000 c:\python\Lib\asyncio\format_helpers.py:62(extract_stack)
       89    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\linecache.py:53(checkcache)
        5    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.001    0.000 {built-in method _asyncio.get_event_loop}
        1    0.000    0.000    0.001    0.001 c:\python\Lib\asyncio\events.py:632(get_event_loop)
        1    0.000    0.000    0.001    0.001 c:\python\Lib\asyncio\events.py:654(new_event_loop)
        1    0.000    0.000    0.001    0.001 c:\python\Lib\asyncio\selector_events.py:48(__init__)
        5    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\tokenize.py:443(open)
        1    0.000    0.000    0.000    0.000 c:\python\Lib\asyncio\selector_events.py:100(_make_self_pipe)
        1    0.000    0.000    0.000    0.000 c:\python\Lib\socket.py:499(socketpair)
        5    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 c:\python\Lib\logging\__init__.py:1373(info)
        2    0.000    0.000    0.000    0.000 c:\python\Lib\logging\__init__.py:1496(_log)
