         140494 function calls (139442 primitive calls) in 9.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000    9.802    9.802 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    9.126    9.126 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline_old.py:83(ner_parsing_component)
        3    0.000    0.000    9.112    3.037 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    8.928    2.976 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.000    0.000    8.928    2.976 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    8.837    2.946 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    8.810    2.937 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    8.679    2.893 c:\python\Lib\subprocess.py:1242(_communicate)
       32    8.677    0.271    8.677    0.271 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    8.675    1.446 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    8.675    1.446 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        1    0.000    0.000    0.500    0.500 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline_old.py:54(category_component)
        1    0.002    0.002    0.499    0.499 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        1    0.000    0.000    0.492    0.492 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        1    0.000    0.000    0.252    0.252 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
        1    0.000    0.000    0.225    0.225 pipes.pyx:396(__call__)
        1    0.000    0.000    0.204    0.204 pipes.pyx:408(predict)
     23/2    0.000    0.000    0.204    0.102 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
      6/1    0.000    0.000    0.202    0.202 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:38(predict)
        2    0.000    0.000    0.189    0.094 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:308(predict)
        2    0.000    0.000    0.174    0.087 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
        1    0.000    0.000    0.158    0.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:370(uniqued_fwd)
        3    0.000    0.000    0.131    0.044 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.131    0.044 c:\python\Lib\subprocess.py:1221(_wait)
        3    0.131    0.044    0.131    0.044 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.121    0.121 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
        1    0.000    0.000    0.109    0.109 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:154(education_parser)
        1    0.001    0.001    0.108    0.108 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\formatdata.py:85(formatEducationalinfo)
       10    0.000    0.000    0.097    0.010 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\datefinder\__init__.py:26(find_dates)
        3    0.000    0.000    0.095    0.032 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\formatdata.py:134(<listcomp>)
        1    0.000    0.000    0.095    0.095 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\layernorm.py:60(begin_update)
        1    0.024    0.024    0.095    0.095 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline_old.py:110(pattern_matching_component)
