         515465 function calls (512790 primitive calls) in 0.934 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.850    0.850 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.535    0.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.535    0.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.535    0.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.535    0.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.535    0.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.534    0.534 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.000    0.000    0.353    0.353 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      2/1    0.000    0.000    0.353    0.353 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        2    0.002    0.001    0.341    0.170 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.003    0.000    0.339    0.000 tokenizer.pyx:426(add_special_case)
     2501    0.232    0.000    0.232    0.000 tokenizer.pyx:202(_flush_cache)
        1    0.000    0.000    0.188    0.188 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.188    0.188 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.188    0.188 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        1    0.000    0.000    0.181    0.181 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        1    0.000    0.000    0.177    0.177 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.177    0.177 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.177    0.177 tokenizer.pyx:545(from_disk)
        1    0.000    0.000    0.176    0.176 tokenizer.pyx:581(from_bytes)
        1    0.000    0.000    0.176    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.175    0.175 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.175    0.175 vocab.pyx:455(from_disk)
        2    0.000    0.000    0.173    0.086 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        2    0.001    0.001    0.171    0.086 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
        1    0.000    0.000    0.170    0.170 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.170    0.170 tokenizer.pyx:32(__init__)
        3    0.165    0.055    0.167    0.056 {built-in method _pickle.load}
        1    0.000    0.000    0.161    0.161 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.161    0.161 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.161    0.161 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
     1500    0.001    0.000    0.142    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1500    0.003    0.000    0.141    0.000 tokenizer.pyx:136(__call__)
     1957    0.002    0.000    0.115    0.000 tokenizer.pyx:233(_tokenize)
     1502    0.001    0.000    0.114    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.113    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
     2884    0.035    0.000    0.105    0.000 vocab.pyx:168(_new_lexeme)
     2492    0.072    0.000    0.105    0.000 vocab.pyx:251(make_fused_token)
     1957    0.007    0.000    0.091    0.000 tokenizer.pyx:297(_attach_tokens)
        9    0.023    0.003    0.088    0.010 {method 'update' of 'collections.OrderedDict' objects}
     2323    0.002    0.000    0.076    0.000 vocab.pyx:134(get)
        9    0.000    0.000    0.070    0.008 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
        9    0.070    0.008    0.070    0.008 {built-in method from_error_rate}
    45101    0.036    0.000    0.065    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
        2    0.000    0.000    0.063    0.032 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
        2    0.000    0.000    0.063    0.032 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        2    0.000    0.000    0.033    0.017 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:56(embedding_component)
     4830    0.001    0.000    0.033    0.000 vocab.pyx:154(get_by_orth)
        2    0.001    0.000    0.032    0.016 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:26(get_word_embeddings)
        1    0.024    0.024    0.027    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1592(make_cum_table)
    45101    0.026    0.000    0.026    0.000 {method 'add' of 'preshed.bloom.BloomFilter' objects}
     1500    0.009    0.000    0.023    0.000 doc.pyx:175(__init__)
        2    0.000    0.000    0.021    0.010 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\datareader.py:122(prepare_text)
     1957    0.003    0.000    0.020    0.000 tokenizer.pyx:245(_split_affixes)
        3    0.000    0.000    0.018    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\_msgpack_api.py:19(msgpack_loads)
        3    0.000    0.000    0.017    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\msgpack\__init__.py:53(unpackb)
        3    0.017    0.006    0.017    0.006 {srsly.msgpack._unpacker.unpackb}
        1    0.000    0.000    0.015    0.015 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\datareader.py:62(pdf_to_text)
     2884    0.011    0.000    0.015    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lang\lex_attrs.py:150(word_shape)
      123    0.000    0.000    0.014    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.014    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\fitz\utils.py:436(getText)
      249    0.000    0.000    0.014    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\colorama\ansitowin32.py:40(write)
        2    0.000    0.000    0.014    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\fitz\fitz.py:3712(getTextPage)
        2    0.000    0.000    0.014    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\fitz\fitz.py:3709(_get_text_page)
        2    0.014    0.007    0.014    0.007 {built-in method fitz._fitz.Page__get_text_page}
      249    0.000    0.000    0.014    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\colorama\ansitowin32.py:160(write)
      249    0.000    0.000    0.014    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
