         486632 function calls (484101 primitive calls) in 0.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.806    0.806 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.496    0.496 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.496    0.496 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.496    0.496 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.496    0.496 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.496    0.496 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.496    0.496 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        2    0.002    0.001    0.342    0.171 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.003    0.000    0.340    0.000 tokenizer.pyx:426(add_special_case)
        1    0.000    0.000    0.312    0.312 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      2/1    0.000    0.000    0.312    0.312 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
     2501    0.232    0.000    0.232    0.000 tokenizer.pyx:202(_flush_cache)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        1    0.000    0.000    0.183    0.183 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        1    0.000    0.000    0.177    0.177 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.177    0.177 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.177    0.177 tokenizer.pyx:545(from_disk)
        1    0.000    0.000    0.177    0.177 tokenizer.pyx:581(from_bytes)
        1    0.000    0.000    0.171    0.171 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.171    0.171 tokenizer.pyx:32(__init__)
        3    0.162    0.054    0.165    0.055 {built-in method _pickle.load}
        1    0.000    0.000    0.158    0.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.158    0.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.158    0.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
        1    0.000    0.000    0.134    0.134 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.134    0.134 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.134    0.134 vocab.pyx:455(from_disk)
        2    0.000    0.000    0.132    0.066 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
     1499    0.001    0.000    0.131    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
        2    0.001    0.001    0.130    0.065 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
     1499    0.003    0.000    0.130    0.000 tokenizer.pyx:136(__call__)
     1502    0.001    0.000    0.112    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.111    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
     2492    0.071    0.000    0.106    0.000 vocab.pyx:251(make_fused_token)
     1792    0.001    0.000    0.104    0.000 tokenizer.pyx:233(_tokenize)
     2748    0.034    0.000    0.101    0.000 vocab.pyx:168(_new_lexeme)
     1792    0.007    0.000    0.084    0.000 tokenizer.pyx:297(_attach_tokens)
        9    0.021    0.002    0.073    0.008 {method 'update' of 'collections.OrderedDict' objects}
     2116    0.002    0.000    0.070    0.000 vocab.pyx:134(get)
    45101    0.028    0.000    0.052    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
        9    0.000    0.000    0.043    0.005 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
        9    0.043    0.005    0.043    0.005 {built-in method from_error_rate}
        1    0.000    0.000    0.043    0.043 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
        1    0.000    0.000    0.043    0.043 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
     4830    0.001    0.000    0.034    0.000 vocab.pyx:154(get_by_orth)
        1    0.023    0.023    0.027    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1592(make_cum_table)
        1    0.000    0.000    0.023    0.023 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:56(embedding_component)
        1    0.001    0.001    0.022    0.022 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:26(get_word_embeddings)
     1499    0.008    0.000    0.022    0.000 doc.pyx:175(__init__)
    45101    0.021    0.000    0.021    0.000 {method 'add' of 'preshed.bloom.BloomFilter' objects}
        3    0.000    0.000    0.018    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\_msgpack_api.py:19(msgpack_loads)
        3    0.000    0.000    0.018    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\msgpack\__init__.py:53(unpackb)
        3    0.018    0.006    0.018    0.006 {srsly.msgpack._unpacker.unpackb}
     1792    0.002    0.000    0.018    0.000 tokenizer.pyx:245(_split_affixes)
        1    0.000    0.000    0.016    0.016 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\datareader.py:122(prepare_text)
        1    0.000    0.000    0.016    0.016 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\datareader.py:62(pdf_to_text)
        2    0.000    0.000    0.014    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\fitz\utils.py:436(getText)
        2    0.000    0.000    0.014    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\fitz\fitz.py:3712(getTextPage)
