         1944057 function calls (1916156 primitive calls) in 18.816 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   17.972    8.986 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      6/2    0.139    0.023   17.972    8.986 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        2    0.001    0.000   15.706    7.853 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        6    0.000    0.000   15.696    2.616 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        6    0.000    0.000   15.623    2.604 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        6    0.001    0.000   15.623    2.604 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        6    0.000    0.000   15.595    2.599 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        6    0.000    0.000   15.576    2.596 c:\python\Lib\subprocess.py:895(communicate)
        6    0.000    0.000   15.303    2.551 c:\python\Lib\subprocess.py:1242(_communicate)
       62   15.302    0.247   15.302    0.247 {method 'acquire' of '_thread.lock' objects}
       12    0.000    0.000   15.299    1.275 c:\python\Lib\threading.py:1000(join)
       12    0.000    0.000   15.299    1.275 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        2    0.000    0.000    1.811    0.906 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        3    0.000    0.000    1.799    0.600 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    1.799    0.600 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    1.798    0.599 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    1.798    0.599 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        3    0.000    0.000    1.798    0.599 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        3    0.000    0.000    1.797    0.599 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        3    0.000    0.000    1.231    0.410 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
     12/3    0.001    0.000    1.231    0.410 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
