         518229 function calls (515045 primitive calls) in 8.495 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.665    7.665 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
        1    0.000    0.000    7.665    7.665 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    7.644    7.644 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        3    0.000    0.000    7.640    2.547 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    7.605    2.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.000    0.000    7.605    2.535 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    7.582    2.527 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    7.577    2.526 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    7.442    2.481 c:\python\Lib\subprocess.py:1242(_communicate)
       32    7.441    0.233    7.441    0.233 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    7.441    1.240 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    7.440    1.240 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        1    0.001    0.001    0.814    0.814 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.501    0.501 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.501    0.501 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.501    0.501 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.501    0.501 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.501    0.501 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.501    0.501 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        2    0.002    0.001    0.340    0.170 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.003    0.000    0.338    0.000 tokenizer.pyx:426(add_special_case)
        1    0.000    0.000    0.318    0.318 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      2/1    0.000    0.000    0.318    0.318 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
     2501    0.231    0.000    0.232    0.000 tokenizer.pyx:202(_flush_cache)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.184    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        1    0.000    0.000    0.182    0.182 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        1    0.000    0.000    0.175    0.175 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.175    0.175 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.175    0.175 tokenizer.pyx:545(from_disk)
        1    0.000    0.000    0.175    0.175 tokenizer.pyx:581(from_bytes)
        1    0.000    0.000    0.171    0.171 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.170    0.170 tokenizer.pyx:32(__init__)
        3    0.161    0.054    0.163    0.054 {built-in method _pickle.load}
        1    0.000    0.000    0.157    0.157 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.157    0.157 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.157    0.157 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
        1    0.000    0.000    0.143    0.143 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.143    0.143 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.143    0.143 vocab.pyx:455(from_disk)
        2    0.000    0.000    0.140    0.070 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        2    0.001    0.001    0.139    0.069 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
        3    0.000    0.000    0.135    0.045 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.135    0.045 c:\python\Lib\subprocess.py:1221(_wait)
        3    0.135    0.045    0.135    0.045 {built-in method _winapi.WaitForSingleObject}
     1499    0.001    0.000    0.135    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1499    0.003    0.000    0.134    0.000 tokenizer.pyx:136(__call__)
     1502    0.001    0.000    0.115    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.115    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
     1792    0.001    0.000    0.107    0.000 tokenizer.pyx:233(_tokenize)
     2492    0.071    0.000    0.104    0.000 vocab.pyx:251(make_fused_token)
     2748    0.034    0.000    0.101    0.000 vocab.pyx:168(_new_lexeme)
     1792    0.007    0.000    0.086    0.000 tokenizer.pyx:297(_attach_tokens)
        9    0.021    0.002    0.082    0.009 {method 'update' of 'collections.OrderedDict' objects}
     2116    0.002    0.000    0.072    0.000 vocab.pyx:134(get)
    45101    0.035    0.000    0.061    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
        9    0.000    0.000    0.043    0.005 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
        9    0.043    0.005    0.043    0.005 {built-in method from_error_rate}
     4830    0.001    0.000    0.033    0.000 vocab.pyx:154(get_by_orth)
        1    0.023    0.023    0.027    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1592(make_cum_table)
