         877870 function calls (865049 primitive calls) in 9.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.624    9.624 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:209(process_text)
      3/1    0.114    0.038    9.624    9.624 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.001    0.001    8.285    8.285 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:75(ner_parsing_component)
        3    0.000    0.000    8.273    2.758 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    8.196    2.732 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.001    0.000    8.196    2.732 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    8.150    2.717 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    8.146    2.715 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    8.002    2.667 c:\python\Lib\subprocess.py:1242(_communicate)
       30    8.001    0.267    8.001    0.267 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    8.000    1.333 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    8.000    1.333 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        1    0.000    0.000    1.143    1.143 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:102(pattern_matching_component)
        1    0.000    0.000    0.668    0.668 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        1    0.000    0.000    0.668    0.668 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        1    0.000    0.000    0.667    0.667 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        1    0.000    0.000    0.667    0.667 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        1    0.000    0.000    0.667    0.667 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        1    0.000    0.000    0.667    0.667 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.000    0.000    0.484    0.484 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      5/1    0.001    0.000    0.484    0.484 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        2    0.002    0.001    0.340    0.170 tokenizer.pyx:420(_load_special_tokenization)
     2492    0.003    0.000    0.338    0.000 tokenizer.pyx:426(add_special_case)
     48/6    0.001    0.000    0.262    0.044 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
     2501    0.232    0.000    0.233    0.000 tokenizer.pyx:202(_flush_cache)
        2    0.000    0.000    0.209    0.104 pipes.pyx:396(__call__)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        1    0.000    0.000    0.185    0.185 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.001    0.001    0.185    0.185 vocab.pyx:455(from_disk)
        1    0.000    0.000    0.182    0.182 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        2    0.000    0.000    0.182    0.091 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        2    0.001    0.001    0.180    0.090 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
        1    0.000    0.000    0.175    0.175 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        1    0.000    0.000    0.175    0.175 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        1    0.000    0.000    0.175    0.175 tokenizer.pyx:545(from_disk)
        1    0.000    0.000    0.175    0.175 tokenizer.pyx:581(from_bytes)
        1    0.000    0.000    0.171    0.171 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        1    0.000    0.000    0.171    0.171 tokenizer.pyx:32(__init__)
        6    0.000    0.000    0.163    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
        1    0.000    0.000    0.149    0.149 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:47(category_component)
        1    0.001    0.001    0.147    0.147 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        1    0.001    0.001    0.146    0.146 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        3    0.000    0.000    0.144    0.048 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.144    0.048 c:\python\Lib\subprocess.py:1221(_wait)
