         140489 function calls (139437 primitive calls) in 8.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.041    8.041 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:216(process_text)
      2/1    0.000    0.000    8.041    8.041 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    7.948    7.948 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:76(ner_parsing_component)
        3    0.000    0.000    7.945    2.648 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    7.903    2.634 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.001    0.000    7.903    2.634 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    7.870    2.623 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    7.863    2.621 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    7.731    2.577 c:\python\Lib\subprocess.py:1242(_communicate)
       32    7.730    0.242    7.730    0.242 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    7.728    1.288 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    7.728    1.288 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        3    0.000    0.000    0.132    0.044 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.132    0.044 c:\python\Lib\subprocess.py:1221(_wait)
        3    0.132    0.044    0.132    0.044 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.056    0.056 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:48(category_component)
        1    0.001    0.001    0.056    0.056 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        1    0.000    0.000    0.055    0.055 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        1    0.000    0.000    0.033    0.033 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
        3    0.000    0.000    0.023    0.008 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\tempfile.py:303(mkstemp)
        3    0.000    0.000    0.022    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\tempfile.py:247(_mkstemp_inner)
        4    0.022    0.005    0.022    0.005 {built-in method nt.open}
        1    0.000    0.000    0.020    0.020 pipes.pyx:396(__call__)
        2    0.000    0.000    0.019    0.009 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
        2    0.000    0.000    0.019    0.009 tokenizer.pyx:136(__call__)
      339    0.000    0.000    0.018    0.000 tokenizer.pyx:233(_tokenize)
        1    0.000    0.000    0.017    0.017 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:57(segmentation_component)
        1    0.000    0.000    0.017    0.017 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:154(education_parser)
        3    0.000    0.000    0.016    0.005 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tokenize\__init__.py:114(word_tokenize)
        1    0.000    0.000    0.016    0.016 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\segmentation\segmentresume.py:105(format_segment)
        1    0.000    0.000    0.016    0.016 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\segmentation\segmentresume.py:76(sliced_resume_text)
        1    0.001    0.001    0.016    0.016 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\segmentation\segmentresume.py:39(unique_index_headings)
       86    0.000    0.000    0.015    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\sklearn\naive_bayes.py:63(predict)
      339    0.001    0.000    0.015    0.000 tokenizer.pyx:297(_attach_tokens)
        1    0.000    0.000    0.014    0.014 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\formatdata.py:85(formatEducationalinfo)
        1    0.001    0.001    0.012    0.012 pipes.pyx:426(set_annotations)
      379    0.000    0.000    0.012    0.000 vocab.pyx:134(get)
      327    0.004    0.000    0.012    0.000 vocab.pyx:168(_new_lexeme)
       10    0.000    0.000    0.012    0.001 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\datefinder\__init__.py:26(find_dates)
      932    0.002    0.000    0.011    0.000 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\formatdata.py:41(cleandata)
