         3846764 function calls (3801662 primitive calls) in 62.697 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     11/4    0.751    0.068   62.240   15.560 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        4    0.055    0.014   44.266   11.066 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline_old.py:83(ner_parsing_component)
       12    0.001    0.000   43.965    3.664 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
       12    0.000    0.000   41.853    3.488 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
       12    0.002    0.000   41.852    3.488 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
       12    0.001    0.000   41.108    3.426 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
       12    0.000    0.000   41.042    3.420 c:\python\Lib\subprocess.py:895(communicate)
       12    0.001    0.000   40.388    3.366 c:\python\Lib\subprocess.py:1242(_communicate)
      122   40.383    0.331   40.383    0.331 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000   40.378    1.682 c:\python\Lib\threading.py:1000(join)
       24    0.000    0.000   40.377    1.682 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        4    0.426    0.107   10.858    2.715 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline_old.py:110(pattern_matching_component)
        4    0.000    0.000    6.743    1.686 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline_old.py:54(category_component)
        4    0.006    0.002    6.726    1.682 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        4    0.003    0.001    6.689    1.672 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        3    0.000    0.000    6.475    2.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        3    0.000    0.000    6.475    2.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        3    0.000    0.000    6.474    2.158 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        3    0.000    0.000    6.454    2.151 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        3    0.036    0.012    6.454    2.151 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        3    0.000    0.000    6.265    2.088 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
   167/20    0.073    0.000    5.121    0.256 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
        7    0.142    0.020    5.092    0.727 pipes.pyx:396(__call__)
        4    0.000    0.000    4.820    1.205 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
        3    0.000    0.000    4.431    1.477 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
     15/3    0.241    0.016    4.430    1.477 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
       20    0.146    0.007    4.424    0.221 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
        7    0.138    0.020    4.353    0.622 pipes.pyx:408(predict)
       14    0.071    0.005    4.051    0.289 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:308(predict)
     42/7    0.011    0.000    4.034    0.576 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:38(predict)
       13    0.006    0.000    3.575    0.275 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:370(uniqued_fwd)
    49/13    0.006    0.000    3.089    0.238 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
        9    0.010    0.001    2.421    0.269 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
       37    0.010    0.000    2.354    0.064 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\layernorm.py:60(begin_update)
       78    2.237    0.029    2.241    0.029 ops.pyx:512(gemm)
       37    0.045    0.001    2.219    0.060 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\maxout.py:72(begin_update)
        4    0.003    0.001    1.709    0.427 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:154(education_parser)
        4    0.004    0.001    1.695    0.424 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\formatdata.py:85(formatEducationalinfo)
       57    0.000    0.000    1.641    0.029 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\datefinder\__init__.py:26(find_dates)
       17    0.000    0.000    1.634    0.096 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\formatdata.py:134(<listcomp>)
        6    0.569    0.095    1.348    0.225 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
       71    0.001    0.000    1.332    0.019 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\datefinder\__init__.py:131(extract_date_strings_inner)
        3    0.000    0.000    1.302    0.434 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        6    0.008    0.001    1.218    0.203 tokenizer.pyx:420(_load_special_tokenization)
2717/2575    0.057    0.000    1.216    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     7476    0.013    0.000    1.210    0.000 tokenizer.pyx:426(add_special_case)
        3    0.000    0.000    1.166    0.389 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        3    0.000    0.000    1.166    0.389 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        3    0.064    0.021    1.166    0.389 vocab.pyx:455(from_disk)
        3    0.000    0.000    1.063    0.354 pipes.pyx:639(from_disk)
       17    0.000    0.000    0.977    0.057 <__array_function__ internals>:2(unique)
       17    0.000    0.000    0.976    0.057 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\numpy\lib\arraysetops.py:151(unique)
       17    0.275    0.016    0.976    0.057 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\numpy\lib\arraysetops.py:298(_unique1d)
        3    0.099    0.033    0.963    0.321 pipes.pyx:640(load_model)
      620    0.004    0.000    0.922    0.001 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\describe.py:36(__get__)
        9    0.053    0.006    0.878    0.098 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:374(from_bytes)
     7503    0.803    0.000    0.804    0.000 tokenizer.pyx:202(_flush_cache)
        4    0.000    0.000    0.801    0.200 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\sklearn\feature_extraction\text.py:1821(fit_transform)
13235/12983    0.005    0.000    0.794    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.750    0.250 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        3    0.000    0.000    0.740    0.247 tokenizer.pyx:32(__init__)
       40    0.705    0.018    0.708    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\datefinder\__init__.py:187(tokenize_string)
    39/13    0.001    0.000    0.668    0.051 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:161(begin_update)
    39/13    0.000    0.000    0.659    0.051 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:163(<listcomp>)
    78/26    0.001    0.000    0.659    0.025 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:255(wrap)
       12    0.000    0.000    0.654    0.054 c:\python\Lib\subprocess.py:985(wait)
       12    0.000    0.000    0.654    0.054 c:\python\Lib\subprocess.py:1221(_wait)
       12    0.653    0.054    0.653    0.054 {built-in method _winapi.WaitForSingleObject}
       52    0.484    0.009    0.647    0.012 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\hash_embed.py:56(begin_update)
        3    0.000    0.000    0.639    0.213 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        3    0.000    0.000    0.639    0.213 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        3    0.064    0.021    0.639    0.213 tokenizer.pyx:545(from_disk)
        6    0.000    0.000    0.637    0.106 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:293(begin_update)
       40    0.380    0.009    0.620    0.015 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\datefinder\__init__.py:269(split_date_range)
        7    0.131    0.019    0.597    0.085 pipes.pyx:426(set_annotations)
        3    0.002    0.001    0.574    0.191 tokenizer.pyx:581(from_bytes)
        3    0.083    0.028    0.552    0.184 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:65(create_vocab)
       36    0.184    0.005    0.535    0.015 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\hash_embed.py:18(wrapped)
        6    0.001    0.000    0.533    0.089 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        9    0.000    0.000    0.513    0.057 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:294(create_pipe)
        4    0.000    0.000    0.489    0.122 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\datareader.py:118(prepare_text)
