         18017 function calls (17926 primitive calls) in 0.027 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:109(pattern_matching_component)
        3    0.000    0.000    0.015    0.005 {method 'add' of 'spacy.matcher.matcher.Matcher' objects}
        3    0.000    0.000    0.015    0.005 matcher.pyx:79(add)
        3    0.000    0.000    0.015    0.005 matcher.pyx:638(_preprocess_pattern)
        7    0.000    0.000    0.015    0.002 matcher.pyx:786(_get_extra_predicates)
        4    0.014    0.003    0.014    0.003 matcher.pyx:730(__init__)
        4    0.000    0.000    0.007    0.002 {method 'add' of 'spacy.matcher.phrasematcher.PhraseMatcher' objects}
        4    0.005    0.001    0.007    0.002 phrasematcher.pyx:157(add)
        3    0.000    0.000    0.003    0.001 matcher.pyx:216(__call__)
        3    0.001    0.000    0.003    0.001 matcher.pyx:260(find_matches)
     1269    0.000    0.000    0.002    0.000 matcher.pyx:322(transition_states)
     1285    0.000    0.000    0.001    0.000 matcher.pyx:395(update_predicate_cache)
     1498    0.001    0.000    0.001    0.000 phrasematcher.pyx:327(_convert_to_array)
        3    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\re.py:271(_compile)
        3    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_compile.py:759(compile)
        2    0.000    0.000    0.001    0.000 matcher.pyx:709(__init__)
      846    0.001    0.000    0.001    0.000 matcher.pyx:719(__call__)
        2    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\re.py:232(compile)
     1288    0.000    0.000    0.001    0.000 doc.pyx:282(__getitem__)
        3    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_parse.py:919(parse)
      6/3    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_parse.py:417(_parse_sub)
     13/3    0.000    0.000    0.001    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_parse.py:475(_parse)
        4    0.000    0.000    0.000    0.000 vocab.pyx:227(__getitem__)
        3    0.000    0.000    0.000    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_compile.py:598(_code)
        1    0.000    0.000    0.000    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\re.py:225(finditer)
     1696    0.000    0.000    0.000    0.000 doc.pyx:315(__iter__)
        4    0.000    0.000    0.000    0.000 vocab.pyx:154(get_by_orth)
        3    0.000    0.000    0.000    0.000 vocab.pyx:168(_new_lexeme)
        1    0.000    0.000    0.000    0.000 doc.pyx:488(__get__)
     2980    0.000    0.000    0.000    0.000 token.pxd:19(cinit)
        1    0.000    0.000    0.000    0.000 doc.pyx:493(genexpr)
     26/3    0.000    0.000    0.000    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\sre_compile.py:71(_compile)
        2    0.000    0.000    0.000    0.000 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:173(<genexpr>)
     3006    0.000    0.000    0.000    0.000 doc.pyx:328(__len__)
