         136852 function calls (135810 primitive calls) in 7.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    7.796    7.796 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    7.640    7.640 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:82(ner_parsing_component)
        3    0.000    0.000    7.637    2.546 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    7.599    2.533 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.000    0.000    7.599    2.533 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    7.570    2.523 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    7.564    2.521 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    7.411    2.470 c:\python\Lib\subprocess.py:1242(_communicate)
       32    7.410    0.232    7.410    0.232 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    7.409    1.235 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    7.409    1.235 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        3    0.000    0.000    0.153    0.051 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.153    0.051 c:\python\Lib\subprocess.py:1221(_wait)
        3    0.153    0.051    0.153    0.051 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.115    0.115 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\pipeline.py:54(category_component)
        1    0.001    0.001    0.114    0.114 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        1    0.000    0.000    0.114    0.114 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
        1    0.000    0.000    0.058    0.058 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\sklearn\feature_extraction\text.py:1821(fit_transform)
  566/556    0.000    0.000    0.054    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.001    0.001    0.053    0.053 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\sklearn\feature_extraction\text.py:1423(fit)
        1    0.000    0.000    0.052    0.052 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\scipy\sparse\construct.py:65(diags)
        2    0.000    0.000    0.052    0.026 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\scipy\sparse\base.py:298(asformat)
        1    0.000    0.000    0.052    0.052 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\scipy\sparse\base.py:888(tocsr)
        1    0.000    0.000    0.052    0.052 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\scipy\sparse\dia.py:348(tocoo)
        1    0.000    0.000    0.051    0.051 <__array_function__ internals>:2(tile)
        1    0.051    0.051    0.051    0.051 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\numpy\lib\shape_base.py:1169(tile)
        1    0.000    0.000    0.033    0.033 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphinlab\dolphinlab\seven\dolphin\document_categorization\doc_classifier_test.py:26(preprocess_words)
        1    0.000    0.000    0.021    0.021 pipes.pyx:396(__call__)
        3    0.000    0.000    0.020    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\tempfile.py:303(mkstemp)
        4    0.019    0.005    0.019    0.005 {built-in method nt.open}
        2    0.000    0.000    0.018    0.009 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
        2    0.000    0.000    0.018    0.009 tokenizer.pyx:136(__call__)
      330    0.000    0.000    0.017    0.000 tokenizer.pyx:233(_tokenize)
