         1066500 function calls (1051295 primitive calls) in 9.499 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.625    8.625 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      3/1    0.055    0.018    8.625    8.625 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    7.696    7.696 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:94(ner_parsing_component)
        3    0.000    0.000    7.692    2.564 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\stanfordNER\namedentityrecognition.py:23(ner_parser)
        3    0.000    0.000    7.652    2.551 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:89(tag)
        3    0.000    0.000    7.652    2.551 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\tag\stanford.py:93(tag_sents)
        3    0.000    0.000    7.624    2.541 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\nltk\internals.py:61(java)
        3    0.000    0.000    7.619    2.540 c:\python\Lib\subprocess.py:895(communicate)
        3    0.000    0.000    7.487    2.496 c:\python\Lib\subprocess.py:1242(_communicate)
       32    7.486    0.234    7.486    0.234 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    7.485    1.248 c:\python\Lib\threading.py:1000(join)
        6    0.000    0.000    7.485    1.248 c:\python\Lib\threading.py:1038(_wait_for_tstate_lock)
        2    0.000    0.000    1.156    0.578 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        2    0.000    0.000    1.155    0.578 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        2    0.000    0.000    1.155    0.578 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        2    0.000    0.000    1.155    0.577 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        2    0.000    0.000    1.155    0.577 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        2    0.000    0.000    1.154    0.577 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.001    0.001    0.860    0.860 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        1    0.000    0.000    0.785    0.785 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        2    0.000    0.000    0.775    0.387 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      7/2    0.001    0.000    0.775    0.387 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        4    0.004    0.001    0.690    0.172 tokenizer.pyx:420(_load_special_tokenization)
     4984    0.007    0.000    0.686    0.000 tokenizer.pyx:426(add_special_case)
     5002    0.468    0.000    0.469    0.000 tokenizer.pyx:202(_flush_cache)
        2    0.000    0.000    0.379    0.189 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        2    0.000    0.000    0.353    0.176 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        2    0.000    0.000    0.353    0.176 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        2    0.000    0.000    0.353    0.176 tokenizer.pyx:545(from_disk)
        2    0.001    0.000    0.352    0.176 tokenizer.pyx:581(from_bytes)
        2    0.000    0.000    0.349    0.174 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        2    0.000    0.000    0.349    0.174 tokenizer.pyx:32(__init__)
        2    0.000    0.000    0.297    0.149 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        2    0.000    0.000    0.297    0.148 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        2    0.003    0.001    0.297    0.148 vocab.pyx:455(from_disk)
        4    0.000    0.000    0.292    0.073 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        4    0.002    0.001    0.288    0.072 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
     4984    0.146    0.000    0.212    0.000 vocab.pyx:251(make_fused_token)
     1501    0.001    0.000    0.191    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1501    0.004    0.000    0.190    0.000 tokenizer.pyx:136(__call__)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.185    0.185 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        5    0.167    0.033    0.169    0.034 {built-in method _pickle.load}
     4388    0.055    0.000    0.162    0.000 vocab.pyx:168(_new_lexeme)
        1    0.000    0.000    0.159    0.159 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.159    0.159 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.159    0.159 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
     2472    0.002    0.000    0.153    0.000 tokenizer.pyx:233(_tokenize)
       18    0.041    0.002    0.145    0.008 {method 'update' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.132    0.044 c:\python\Lib\subprocess.py:985(wait)
        3    0.000    0.000    0.132    0.044 c:\python\Lib\subprocess.py:1221(_wait)
        3    0.132    0.044    0.132    0.044 {built-in method _winapi.WaitForSingleObject}
     1502    0.001    0.000    0.132    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.131    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
        3    0.000    0.000    0.124    0.041 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
     2472    0.010    0.000    0.123    0.000 tokenizer.pyx:297(_attach_tokens)
       18    0.000    0.000    0.119    0.007 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
       18    0.119    0.007    0.119    0.007 {built-in method from_error_rate}
    90202    0.056    0.000    0.104    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
     2987    0.003    0.000    0.102    0.000 vocab.pyx:134(get)
        1    0.000    0.000    0.096    0.096 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:66(category_component)
        1    0.001    0.001    0.095    0.095 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\identify_resume.py:31(categorize_document)
        1    0.000    0.000    0.094    0.094 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\document_categorization\doc_classifier_test.py:39(classify)
     48/6    0.000    0.000    0.088    0.015 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
        2    0.007    0.004    0.081    0.040 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
        2    0.000    0.000    0.079    0.039 pipes.pyx:396(__call__)
