         922674 function calls (908552 primitive calls) in 1.739 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    1.140    0.570 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\__init__.py:26(load)
        2    0.000    0.000    1.140    0.570 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:154(load_model)
        2    0.000    0.000    1.139    0.570 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:188(load_model_from_package)
        2    0.000    0.000    1.139    0.570 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\en_core_web_sm\__init__.py:11(load)
        2    0.000    0.000    1.139    0.570 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:221(load_model_from_init_py)
        2    0.000    0.000    1.138    0.569 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:194(load_model_from_path)
        1    0.000    0.000    0.899    0.899 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:247(process_text)
      2/1    0.081    0.041    0.899    0.899 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:421(__call__)
        1    0.000    0.000    0.830    0.830 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:121(pattern_matching_component)
        1    0.000    0.000    0.823    0.823 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\pipeline.py:24(__init__)
        2    0.000    0.000    0.771    0.386 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:926(from_disk)
      7/2    0.001    0.000    0.771    0.385 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\util.py:681(from_disk)
        4    0.004    0.001    0.682    0.170 tokenizer.pyx:420(_load_special_tokenization)
     4984    0.007    0.000    0.678    0.000 tokenizer.pyx:426(add_special_case)
     5002    0.463    0.000    0.463    0.000 tokenizer.pyx:202(_flush_cache)
        2    0.000    0.000    0.367    0.183 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:147(__init__)
        2    0.000    0.000    0.351    0.175 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:957(<lambda>)
        2    0.000    0.000    0.351    0.175 {method 'from_disk' of 'spacy.tokenizer.Tokenizer' objects}
        2    0.000    0.000    0.351    0.175 tokenizer.pyx:545(from_disk)
        2    0.001    0.000    0.350    0.175 tokenizer.pyx:581(from_bytes)
        2    0.000    0.000    0.343    0.171 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:88(create_tokenizer)
        2    0.000    0.000    0.343    0.171 tokenizer.pyx:32(__init__)
        2    0.000    0.000    0.273    0.137 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:945(deserialize_vocab)
        2    0.000    0.000    0.273    0.137 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        2    0.003    0.001    0.273    0.137 vocab.pyx:455(from_disk)
        4    0.001    0.000    0.268    0.067 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:143(from_disk)
        4    0.003    0.001    0.265    0.066 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:113(from_bytes)
     4984    0.144    0.000    0.209    0.000 vocab.pyx:251(make_fused_token)
        1    0.000    0.000    0.203    0.203 C:\Users\Aakash\Desktop\Python\Scraping\Projects\dolphin2\seven\dolphin\word2vec.py:20(__init__)
        1    0.000    0.000    0.203    0.203 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1120(load)
        1    0.000    0.000    0.203    0.203 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:1199(load)
        2    0.159    0.080    0.161    0.081 {built-in method _pickle.load}
        1    0.000    0.000    0.160    0.160 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\base_any2vec.py:575(load)
        1    0.000    0.000    0.160    0.160 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:402(load)
        1    0.000    0.000    0.160    0.160 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\utils.py:1381(unpickle)
     1500    0.001    0.000    0.155    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:463(make_doc)
     1500    0.004    0.000    0.154    0.000 tokenizer.pyx:136(__call__)
        3    0.000    0.000    0.145    0.048 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:965(<lambda>)
     4086    0.048    0.000    0.145    0.000 vocab.pyx:168(_new_lexeme)
       18    0.041    0.002    0.144    0.008 {method 'update' of 'collections.OrderedDict' objects}
     2169    0.002    0.000    0.128    0.000 tokenizer.pyx:233(_tokenize)
     1502    0.001    0.000    0.113    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:738(pipe)
     1502    0.001    0.000    0.113    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:811(<genexpr>)
    90202    0.055    0.000    0.103    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:200(__setitem__)
     2169    0.008    0.000    0.102    0.000 tokenizer.pyx:297(_attach_tokens)
     25/4    0.000    0.000    0.093    0.023 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:161(__call__)
       18    0.000    0.000    0.092    0.005 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\lookups.py:182(__init__)
       18    0.092    0.005    0.092    0.005 {built-in method from_error_rate}
        2    0.008    0.004    0.089    0.044 {method 'from_disk' of 'spacy.syntax.nn_parser.Parser' objects}
     2684    0.002    0.000    0.085    0.000 vocab.pyx:134(get)
        4    0.000    0.000    0.072    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:130(predict)
        3    0.001    0.000    0.068    0.023 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:374(from_bytes)
     9664    0.003    0.000    0.065    0.000 vocab.pyx:154(get_by_orth)
     15/3    0.000    0.000    0.058    0.019 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\feed_forward.py:43(begin_update)
      172    0.001    0.000    0.057    0.000 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\describe.py:36(__get__)
5825/5741    0.001    0.000    0.057    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.057    0.057 pipes.pyx:639(from_disk)
        3    0.000    0.000    0.056    0.019 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\_ml.py:321(Tok2Vec)
        3    0.000    0.000    0.056    0.019 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\ml\_legacy_tok2vec.py:15(Tok2Vec)
       25    0.000    0.000    0.055    0.002 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\check.py:127(checker)
        3    0.000    0.000    0.054    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:302(__pow__)
        3    0.000    0.000    0.054    0.018 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:139(clone)
     27/9    0.000    0.000    0.054    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\copy.py:132(deepcopy)
        2    0.000    0.000    0.053    0.027 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:293(begin_update)
    342/9    0.001    0.000    0.052    0.006 {method '__reduce_ex__' of 'object' objects}
     45/9    0.000    0.000    0.052    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\model.py:97(__getstate__)
     45/9    0.000    0.000    0.052    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\_pickle_api.py:7(pickle_dumps)
     45/9    0.000    0.000    0.052    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\cloudpickle\cloudpickle.py:1112(dumps)
        1    0.004    0.004    0.052    0.052 pipes.pyx:640(load_model)
     45/9    0.000    0.000    0.052    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\cloudpickle\cloudpickle.py:479(dump)
     45/9    0.000    0.000    0.052    0.006 c:\python\Lib\pickle.py:426(dump)
   7416/9    0.012    0.000    0.052    0.006 c:\python\Lib\pickle.py:485(save)
    549/9    0.001    0.000    0.052    0.006 c:\python\Lib\pickle.py:849(save_dict)
    549/9    0.002    0.000    0.051    0.006 c:\python\Lib\pickle.py:862(_batch_setitems)
        1    0.000    0.000    0.047    0.047 pipes.pyx:396(__call__)
   171/27    0.000    0.000    0.046    0.002 c:\python\Lib\pickle.py:809(save_list)
   171/27    0.000    0.000    0.046    0.002 c:\python\Lib\pickle.py:822(_batch_appends)
       11    0.000    0.000    0.046    0.004 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\layernorm.py:60(begin_update)
        8    0.001    0.000    0.045    0.006 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\resnet.py:28(begin_update)
       11    0.000    0.000    0.045    0.004 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\_msgpack_api.py:19(msgpack_loads)
       11    0.000    0.000    0.045    0.004 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\srsly\msgpack\__init__.py:53(unpackb)
       11    0.043    0.004    0.045    0.004 {srsly.msgpack._unpacker.unpackb}
       18    0.036    0.002    0.043    0.002 ops.pyx:512(gemm)
        1    0.037    0.037    0.043    0.043 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\gensim\models\word2vec.py:1592(make_cum_table)
    90202    0.041    0.000    0.041    0.000 {method 'add' of 'preshed.bloom.BloomFilter' objects}
  387/243    0.001    0.000    0.039    0.000 c:\python\Lib\pickle.py:567(save_reduce)
       11    0.002    0.000    0.039    0.004 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\maxout.py:72(begin_update)
       57    0.036    0.001    0.036    0.001 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
       12    0.005    0.000    0.028    0.002 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\neural\_classes\hash_embed.py:18(wrapped)
        1    0.000    0.000    0.027    0.027 pipes.pyx:408(predict)
        2    0.000    0.000    0.026    0.013 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\thinc\api.py:308(predict)
        2    0.000    0.000    0.024    0.012 C:\Users\Aakash\Desktop\Python\Scraping\scrap_env\lib\site-packages\spacy\language.py:65(create_vocab)
